0	3.23946
1	3.15195
7	3.05798
8	3.26416
14	3.00628
15	3.14199
21	3.21621
22	3.10807
28	3.11775
29	3.09438
35	3.0936
36	2.99367
42	3.22936
43	3.05929
49	3.04505
50	3.1207
56	3.14927
57	3.1567
63	3.06957
64	3.2226
70	3.03521
71	3.19836
77	3.06154
78	3.16002
84	3.02733
85	3.20619
91	2.96237
92	3.06377
98	3.23291
99	3.1626
105	3.15415
106	3.01518
112	3.18841
113	3.15999
119	3.20118
120	3.16241
126	3.2477
127	3.12457
133	3.24195
134	3.08352
140	3.13358
141	3.03013
147	3.23632
148	3.05683
154	3.16471
155	3.09867
161	2.96338
162	3.17531
168	3.13732
169	2.98044
182	0.5
183	0.5
